# HELP namedprocess_namegroup_cpu_seconds_total Cpu user usage in seconds
# TYPE namedprocess_namegroup_cpu_seconds_total counter
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946382
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15039",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946382
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946473
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946473
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946474
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946474
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946475
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946475
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946476
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946476
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946477
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946477
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946478
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946478
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946479
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946479
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946480
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946480
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946481
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946481
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946482
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15394",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946482
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946531
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946531
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946532
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946532
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946533
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946533
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946534
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946534
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946535
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946535
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946536
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946536
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946537
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946537
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946538
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946538
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946539
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946539
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="system"} 0 1678946540
namedprocess_namegroup_cpu_seconds_total{groupname="GameServer:15633",instance="10.11.85.147",job="prometheus",mode="user"} 0 1678946540
# HELP namedprocess_namegroup_num_procs number of processes in this group
# TYPE namedprocess_namegroup_num_procs gauge
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945843
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945844
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945845
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945846
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945847
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945848
namedprocess_namegroup_num_procs{groupname="GameServer:13636",instance="10.11.85.147",job="prometheus"} 1 1678945849
