int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
128	GeForce RTX 2070	16134	833	geforce gtx 2070
129	GeForce RTX 2070	16134	833	geforce gtx 2070 8g
130	GeForce RTX 2070	16134	833	geforce gtx 2070 8gb
131	GeForce RTX 2070	16134	833	geforce rtx 2070 8g
132	GeForce RTX 2070	16134	833	geforce rtx 2070 8gb
133	GeForce RTX 2070	16134	833	geforce rtx 2o7o
134	GeForce RTX 2070	16134	833	geforce rxt 2070
135	GeForce RTX 2070	16134	833	geforcertx 2070
136	GeForce RTX 2070	16134	833	geforcertx2070
137	GeForce RTX 2070	16134	833	geforec rtx 2070
138	Miracast display port driver V3	15910	604	miracast display port driver v3
139	GeForce RTX 2060 12GB	15800	838	geforce rtx 2060 12gb
140	Quadro P6000	15717	747	quadro p6000
141	RTX A4000 Laptop GPU	15652	537	rtx a4000 laptop
142	Quadro GP100	15608	821	quadro gp100
143	Radeon Pro Vega II	15592	816	radeon pro vega ii
144	Quadro RTX 4000	15469	901	quadro rtx 4000
145	GeForce RTX 3070 Laptop GPU	15459	652	geforce rtx 3070 laptop
146	Radeon Pro W5700	15408	911	radeon pro w5700
147	GeForce GTX 1080	15388	894	geforce gtx 1080
148	GeForce GTX 1080	15388	894	geforce gtx 1080 11gb
149	GeForce GTX 1080	15388	894	geforce gtx 1080 6gb
150	GeForce GTX 1080	15388	894	geforce gtx 1080 8g
151	GeForce GTX 1080	15388	894	geforce gtx 1080 8gb
152	GeForce GTX 1080	15388	894	geforce gtx1080
153	GeForce GTX 1080	15388	894	geforce gtx1080 11g
154	GeForce GTX 1080	15388	894	geforce rtx 1080
155	GeForce GTX 1080	15388	894	geforcegtx1080
156	GeForce GTX 1080	15388	894	gtx 1080
157	GeForce GTX 1080	15388	894	nvida geforce gtx 1080 8gb
158	GeForce RTX 2080 (Mobile)	15107	812	geforce rtx 2080 mobile
159	Radeon RX 6800S	14895	736	radeon rx 6800s
160	Radeon PRO W6600	14868	997	radeon pro w6600
161	Quadro RTX 5000 (Mobile)	14832	705	quadro rtx 5000 mobile
162	RTX A3000 12GB Laptop GPU	14817	612	rtx a3000 12gb laptop
163	Radeon RX 6600	14805	905	radeon rx 6600
